Date,rf
2022-11-30,0.037030000686645505
2022-12-01,0.03529000043869018
2022-12-02,0.035060000419616696
2022-12-05,0.035989999771118164
2022-12-06,0.03513000011444092
2022-12-07,0.034079999923706056
2022-12-08,0.03490999937057495
2022-12-09,0.03566999912261963
2022-12-12,0.036110000610351564
2022-12-13,0.035009999275207516
2022-12-14,0.03503000020980835
2022-12-15,0.034500000476837156
2022-12-16,0.034820001125335696
2022-12-19,0.03581000089645386
2022-12-20,0.03684000015258789
2022-12-21,0.03684000015258789
2022-12-22,0.036689999103546145
2022-12-23,0.03750999927520752
2022-12-27,0.03859999895095825
2022-12-28,0.0388700008392334
2022-12-29,0.038350000381469726
2022-12-30,0.038789999485015866
2023-01-03,0.037929999828338626
2023-01-04,0.037090001106262205
2023-01-05,0.03720000028610229
